L,N,J,V,W,ts,holes,vdimers,hdimers,representator,instance,unconstrained,energy,avrgtimeavrgcorr,stdtimeavrgcorr,avrgcorr,stdcorr,periodicity,filling
12,9,1,4,0.0,0.15166931145821688,0,1,1,101111111100,3,true,5.0,0.970547175439954,7.510548984662542e-16,0.9272821086720936,7.49848802059087e-16,12.0,0.75
12,9,1,16,0.0,0.16636361842749758,0,1,1,101111111100,3,false,5.0,0.9834003113423315,9.036193866662087e-16,0.9653559907133985,9.196978463596983e-16,12.0,0.75
12,9,1,16,0.0,0.16636361842749758,0,1,1,101111111100,3,true,5.0,0.9837248543158013,1.5632652734217202e-15,0.9729367811134172,1.5056234573392485e-15,12.0,0.75
12,9,1,1,0.0,0.16636361842749758,0,1,1,101111111100,3,false,5.0,0.9772180246134208,3.8341696390333837e-16,0.9414013811186811,3.95876377433961e-16,12.0,0.75
12,9,1,1,0.0,0.16636361842749758,0,1,1,101111111100,3,true,5.0,0.963505847483032,7.219669019772262e-16,0.9060610415986603,7.636080729700304e-16,12.0,0.75
12,9,1,4,0.0,0.16636361842749758,0,1,1,101111111100,3,false,5.0,0.9777616224321874,2.8304005479615977e-16,0.9436267065677494,2.5832210177117426e-16,12.0,0.75
12,9,1,4,0.0,0.16636361842749758,0,1,1,101111111100,3,true,5.0,0.965599850211355,7.502289984910491e-16,0.9145353520658931,7.950206154899736e-16,12.0,0.75
12,9,1,16,0.0,0.18248156644341765,0,1,1,101111111100,3,false,5.0,0.981583458415055,9.105620513698865e-16,0.9628305609101375,9.304546842441282e-16,12.0,0.75
12,9,1,16,0.0,0.18248156644341765,0,1,1,101111111100,3,true,5.0,0.9824939636848774,1.5562469589681413e-15,0.9697891566556639,1.5119096284058695e-15,12.0,0.75
12,9,1,1,0.0,0.18248156644341765,0,1,1,101111111100,3,false,5.0,0.9730638359658417,3.778395813748183e-16,0.9301858061844503,3.69539325954187e-16,12.0,0.75
12,9,1,1,0.0,0.18248156644341765,0,1,1,101111111100,3,true,5.0,0.9568395267028896,7.225753294625048e-16,0.8880321794222338,7.329702737788973e-16,12.0,0.75
12,9,1,4,0.0,0.18248156644341765,0,1,1,101111111100,3,false,5.0,0.9738400144840607,2.507210343907688e-16,0.933362598397297,2.226022135685747e-16,12.0,0.75
12,9,1,4,0.0,0.18248156644341765,0,1,1,101111111100,3,true,5.0,0.9598064953244739,7.597484775260456e-16,0.9000095856394168,7.71248759133505e-16,12.0,0.75
12,9,1,16,0.0,0.20016108333298613,0,1,1,101111111100,3,false,5.0,0.979760603417603,9.047824428268405e-16,0.9609457547193975,9.067077970070778e-16,12.0,0.75
12,9,1,16,0.0,0.20016108333298613,0,1,1,101111111100,3,true,5.0,0.9809116885052191,1.5552070896298744e-15,0.9645800175024314,1.5345034548776569e-15,12.0,0.75
12,9,1,1,0.0,0.20016108333298613,0,1,1,101111111100,3,false,5.0,0.9681109404583993,3.7735725952616333e-16,0.9169889479133513,3.7191646794463177e-16,12.0,0.75
12,9,1,1,0.0,0.20016108333298613,0,1,1,101111111100,3,true,5.0,0.94888610764413,7.139302254605356e-16,0.866793798363915,6.623990187091208e-16,12.0,0.75
12,9,1,4,0.0,0.20016108333298613,0,1,1,101111111100,3,false,5.0,0.9692179956692161,2.463223220108114e-16,0.9215111924385514,2.734577698326253e-16,12.0,0.75
12,9,1,4,0.0,0.20016108333298613,0,1,1,101111111100,3,true,5.0,0.9530790204214321,7.557752453327839e-16,0.8836404624459171,8.008692979658736e-16,12.0,0.75
12,9,1,16,0.0,0.21955345990224973,0,1,1,101111111100,3,false,5.0,0.9780048173085775,9.113242215365074e-16,0.9598822293715761,8.868141558192196e-16,12.0,0.75
12,9,1,16,0.0,0.21955345990224973,0,1,1,101111111100,3,true,5.0,0.978766957131175,1.5536419528041305e-15,0.9566298171187783,1.5646461955674436e-15,12.0,0.75
